"id","station","longitude","latitude"
71,Austin B-cycle Station,-97.7398982,30.2559588
72,Austin B-cycle Station,-97.7517753,30.267753
73,San Antonio Zoo SWell Cycle,-98.4744845,29.4610385
74,,-97.1133108,32.7321387
75,,-97.1119027,32.7312232
76,,-97.108393,32.732176
77,,-97.1100815,32.7293256
78,,-97.1135134,32.7297651
79,,-97.1165214,32.7320541
80,,-97.1213575,32.734008
81,,-97.7395572,30.2834302
82,,-97.7373253,30.2829242
83,,-97.7370353,30.2895366
84,,-97.7420078,30.2839452
85,,-97.7404112,30.2898114
86,Rahr & Sons -Bicycle rental,-97.3260477,32.7371456
87,,-97.3237979,32.7422967
88,S Main & Daggett - Bicycle rental,-97.3256512,32.7424334
89,Magnolia & Lipscomb,-97.3334845,32.7305494
90,South Henderson,-97.3377129,32.7304348
91,Sundance Square South - Bicycle rental,-97.3419431,32.7304725
92,"305 East Houston SWell Cycle",-98.4893203,29.4265235
93,Crockett Street SWell Cycle,-98.4882635,29.4251562
94,Visitor's Center SWell Cycle,-98.4872644,29.4257625
95,Geekdom SWell Cycle,-98.4936467,29.4267022
96,USO SWell Cycle,-98.4889917,29.4233036
97,Travis Park SWell Cycle,-98.4895268,29.4276542
98,Weston Center SWell Cycle,-98.4937647,29.4284858
99,Hotel Havana SWell Cycle,-98.4896898,29.4308015
100,San Antonio Central Library SWell Cycle,-98.4923498,29.4324332
101,Milam Park SWell Cycle,-98.4982842,29.4263027
102,Main Plaza SWell Cycle,-98.4944453,29.424797
103,Market Square SWell Cycle,-98.499504,29.4245453
104,Bexar County Garage SWell Cycle,-98.4953365,29.4226395
105,South Alamo at Nueva SWell Cycle,-98.4882601,29.4209591
106,Flores at Cesar Chavez SWell Cycle,-98.4969344,29.4193301
107,Yanaguana Garden SWell Cycle,-98.4880442,29.4191853
108,Cesar Chavez at South Saint Mary's SWell Cycle,-98.4899801,29.4181702
109,South Saint Mary's at South Alamo SWell Cycle,-98.4897387,29.4158904
110,Main at Sheridan SWell Cycle,-98.4969753,29.4148951
111,"1111 South Alamo SWell Cycle",-98.4919509,29.412297
112,Ellis Alley SWell Cycle,-98.4800754,29.4228141
113,"502 Brooklyn Avenue SWell Cycle",-98.4841993,29.4327848
114,San Antonio Museum of Art SWell Cycle,-98.4823626,29.4370006
115,"101 West Evergreen SWell Cycle",-98.4949026,29.4428409
116,SAC at Candler SWell Cycle,-98.4982789,29.4459731
117,Eco Centro SWell Cycle,-98.4935273,29.4460595
118,"2332 North Saint Mary's SWell Cycle",-98.487253,29.4477804
119,Pearl Culinary Gardens SWell Cycle,-98.4801629,29.4426251
120,The DoSeum SWell Cycle,-98.4715392,29.4531914
121,YMCA Tripoint SWell Cycle,-98.4827096,29.4544427
122,SAWS SWell Cycle,-98.4805595,29.458413
123,Stadium Drive at Jesse Jones Rec Area SWell Cycle,-98.4822758,29.4594893
124,Witte @ Parking Garage SWell Cycle,-98.4680715,29.4612055
125,Ace Mart SWell Cycle,-98.4872865,29.4109587
126,"1901 South Alamo SWell Cycle",-98.500957,29.4114879
127,"423 Blue Star SWell Cycle",-98.4908954,29.404505
128,Freetail Brewery SWell Cycle,-98.4827113,29.4016116
129,Confluence Park SWell Cycle,-98.4974541,29.3932013
130,Mission Road SWell Cycle,-98.48893,29.378456
131,VFW Boulevard SWell Cycle,-98.4769654,29.3701139
132,Mission Park Pavilions SWell Cycle,-98.4762224,29.3679482
133,Padre Park SWell Cycle,-98.4705609,29.3619932
134,Mission San Jose SWell Cycle,-98.4796616,29.360126
135,"285 Mission Parkway SWell Cycle",-98.4693955,29.3532892
136,Acequia Park SWell Cycle,-98.4629656,29.3467845
137,Mission San Juan SWell Cycle,-98.4553152,29.3342608
138,Mission Espada SWell Cycle,-98.4510941,29.3192941
139,Austin B-cycle Station,-97.7488695,30.2522001
140,Austin Bicycle Station,-97.750284,30.2489457
141,Austin B-cycle Station,-97.7385143,30.2602026
142,,-97.7611515,30.2619464
143,,-97.7475446,30.2549603
144,,-97.7638937,30.2641018
145,,-97.7346222,30.2520394
146,,-97.7452192,30.2689358
147,,-97.7438422,30.2663604
148,,-95.4051208,29.6968237
149,,-95.4403013,29.7649127
150,,-95.4475815,29.7670152
151,Eleanor Tinsley Park,-95.3806026,29.7613904
152,,-95.3968462,29.766135
153,"5th & Penn - Bicycle rental",-97.3425491,32.7515525
154,Belknap & Taylor - Bicycle rental,-97.3360291,32.7566178
155,Art Museums - Bicycle Rental,-97.3643506,32.7498361
156,"777 Main - Bicycle Rental",-97.3296896,32.7540511
157,City Hall - Bicycle rental,-97.3307629,32.7500532
158,Burnett Park - Bicycle rental,-97.3341219,32.7512257
159,City Place - Bicycle rental,-97.3295778,32.7558681
160,City Center - Bicycle rental,-97.3308053,32.756216
161,Cook Children's - Bicycle rental,-97.3417727,32.7383257
162,Gateway Park - Bicycle rental,-97.2612954,32.7661372
163,Crockett Row - Bicycle rental,-97.3593349,32.7509934
164,Martin House - Bicycle rental,-97.3109701,32.762521
165,Panther Island Pavilion - Bicycle rental,-97.3374481,32.7586218
166,River East - Bicycle rental,-97.3058298,32.7731395
167,Sundance Square South - Bicycle rental,-97.3321167,32.7539543
168,Stockyards - Bicycle rental,-97.3459499,32.7886537
169,TCU - Bicycle rental,-97.3611711,32.7116083
170,The Trailhead at Clearfork -Bicycle rental,-97.3942444,32.706937
171,Waterside - Bicycle rental,-97.4150141,32.699988
172,Trinity Metro - Bicycle rental,-97.3113297,32.7457612
173,UNT Health Science Center - Bicycle rental,-97.3694168,32.7498011
174,Trinity Park South - Bicycle rental,-97.3595889,32.7368092
175,WestBend - Bicycle rental,-97.3596404,32.7265439
176,Weatherford & Main - Bicycle rental,-97.3327416,32.7571135
177,,-95.4351906,29.6910762
178,,-95.4184737,29.6975839
179,River Park Bicycle Rental,-97.4129232,32.7051907
180,W. 7th St. & Stayton - Bicycle rental,-97.3507494,32.7509213
181,Texas & Florence - Bicycle rental,-97.3367148,32.7489976
182,City Place - Bicycle rental,-97.3338954,32.7555581
183,,-95.4015111,29.7108803
184,,-95.3986033,29.7206741
185,,-95.4033734,29.7187606
186,,-95.4014678,29.715636
187,,-95.3975199,29.7166454
188,,-95.4061282,29.7149033
189,,-95.4125219,29.7154924
190,,-95.414999,29.7144578
191,,-97.7702923,30.2746586
8888884,Mühlenberger Loch,9.79784652,53.54849236
1991,Georg,-97.736339,30.249337
2432152,agrgreg,-97.735742,30.249424
777,Post,-97.731132,30.275381
8888883,Mühlenberger Loch / Elbe,9.79784652,53.54849236
6666,dghthh,-97.723046,30.289594
3452345,aetzgrszh,-97.917817,30.260449
